dx,dy,dtheta,dv
3.470708704128639965e-01,-5.947873823480449573e-01,-4.176338806906674250e-01,2.545807780153968025e-01
3.370630742558660131e-01,-6.120109906560884383e-01,-4.446276016241024198e-01,2.386531707266819069e-01
3.037449827212697073e-01,-6.293306145952755060e-01,-4.703675816695285228e-01,1.180289624842227880e-01
2.491274737911624015e-01,-6.462139474461636723e-01,-4.781636383503615750e-01,8.792860017907866421e-02
1.833508036843767286e-01,-6.577685859159139170e-01,-4.847018627233905530e-01,5.875534577033381112e-02
1.051290439452685632e-01,-6.748788554811149254e-01,-4.997632041445141393e-01,1.736023731874247744e-01
1.749536001433682486e-02,-6.954941354225958605e-01,-5.148479150458744602e-01,2.477320954860218194e-01
-7.869018838988495190e-02,-7.059043050065092473e-01,-5.303480227387138424e-01,2.588974559969017264e-01
-1.814725965742525204e-01,-6.976120640820830943e-01,-5.447774808156875537e-01,8.603600967966684721e-02
-2.630867349010941325e-01,-6.591454727922823054e-01,-5.514961831161168115e-01,-2.372996820006889607e-02
-3.439820958236765591e-01,-5.933195747382598029e-01,-5.567974209768492555e-01,-4.949902248616488976e-02
-4.003023853588700831e-01,-5.179400978649866261e-01,-5.563661484877179264e-01,-1.220885839805871953e-01
-4.250400775196254699e-01,-4.359287432971221676e-01,-5.591599513144662748e-01,-1.260046626853990048e-01
-4.690460249054808628e-01,-3.429614264594960105e-01,-5.517914741469795992e-01,-2.378392273716647409e-01
-5.217105153604961743e-01,-2.307836115044032965e-01,-5.285029591925785031e-01,-1.170953273935069205e-01
-5.545130738361905287e-01,-1.237310128420254784e-01,-5.174721541510873823e-01,5.589186067942009117e-03
-5.710640083384390664e-01,-1.842074827027673223e-02,-5.146286075485391187e-01,6.868138477255669727e-02
-5.702007205780006416e-01,8.600857332175237957e-02,-5.158273422287467103e-01,9.646376042667448303e-02
-5.510512207390831918e-01,1.879878494192226412e-01,-5.189187359564759738e-01,1.061626948115241831e-01
-5.135603361486147378e-01,2.848409509590670297e-01,-5.227820267207275995e-01,1.066820287777527909e-01
-4.585611258432322757e-01,3.734778068916622118e-01,-5.267984967679274488e-01,1.024239520627263644e-01
-3.876004272976416587e-01,4.507660521963554601e-01,-5.306441968527693120e-01,9.557646706939859627e-02
-3.029467578730447030e-01,5.138315082754587593e-01,-5.341069158289515340e-01,8.733294676536562662e-02
-2.074893081052664456e-01,5.602130956327542322e-01,-5.370785359058785069e-01,7.842878894947435953e-02
-1.046229806973428822e-01,5.880713120558134221e-01,-5.394919371705932942e-01,6.935019713862011770e-02
1.978828932038823041e-03,5.962667134793875334e-01,-5.413256021360124404e-01,6.045086896399265441e-02
1.083899492032429634e-01,5.844367152504119645e-01,-5.425717179719944383e-01,5.201025362777311756e-02
2.108045007542926896e-01,5.530226913477704898e-01,-5.432526024603765435e-01,4.427942694663578038e-02
3.029905559516095082e-01,5.161364942331871930e-01,-5.419030774856152810e-01,-2.438357289621073676e-02
3.759523167780116637e-01,4.311089323826671205e-01,-5.376505860150793126e-01,-5.334656927192593656e-02
4.270452251284524436e-01,3.677095226981066389e-01,5.751366604286848094e+00,-1.116206514307540587e-01
4.647410840991028635e-01,2.720224343780586196e-01,1.536216431298167429e-01,1.722532587331038201e-02
4.882769112391542876e-01,1.804963299021196121e-01,1.533988955908545115e-01,-1.814584771750045178e-01
4.652443690093832629e-01,6.900325444429000754e-02,1.513011041635570209e-01,-4.282935757455019754e-01
4.342084066452684965e-01,1.589897251593086480e-02,1.315028968310594237e-01,-3.591037997230976941e-01
3.826866415807899102e-01,-3.832882350408439720e-02,1.319761304845048500e-01,-5.084286120400411946e-01
3.188259751994451108e-01,-7.446501570584374008e-02,1.097235102276346019e-01,-8.249247709109619464e-01
2.539157329002961205e-01,-1.023591338849669796e-01,-5.541082534509644830e-02,-9.444147184231050929e-01
1.919790417550331085e-01,-1.158998459207509768e-01,-7.198919116183488676e-02,-8.993715832525452925e-01
1.244660600417262231e-01,-8.361065371556719583e-02,-6.334663987763411441e-02,-8.429448385619917605e-01
5.642726613261572766e-02,-1.182521481093701254e-02,-4.104259477317606652e-02,-1.388900174199858562e-02
1.176479417294729046e-02,2.638315992580331226e-02,-9.405413937684325987e-02,7.855198428432634827e-01
9.526845876166589733e-04,2.063774907386672908e-02,-1.124443913152042285e-01,8.413922776108400114e-01
