x,y,theta,v
-7.279615783691406250e+01,2.110189628601074219e+01,2.034581036942233911e+00,1.937559707751859372e+00
-7.283339691162109375e+01,2.119442176818847656e+01,2.032942127607398675e+00,2.094373314719498058e+00
-7.286331939697265625e+01,2.127287483215332031e+01,2.028270809897345650e+00,1.451898640737850465e+00
-7.288762664794921875e+01,2.134203529357910156e+01,2.020231658672777986e+00,1.547221864535753610e+00
-7.290955352783203125e+01,2.142240905761718750e+01,2.008376996554453786e+00,1.779092529915347498e+00
-7.293460083007812500e+01,2.151191902160644531e+01,1.997224343699474103e+00,1.926679549929644963e+00
-7.295451354980468750e+01,2.157970809936523438e+01,1.991255667064388613e+00,1.063383731320824976e+00
-7.296921539306640625e+01,2.163061523437500000e+01,1.986205647847326006e+00,1.113984860554839695e+00
-7.298250579833984375e+01,2.168696403503417969e+01,1.978048518586467575e+00,1.205542224020173636e+00
-7.299674987792968750e+01,2.175184249877929688e+01,1.968868202834801018e+00,1.410881666701438109e+00
-7.301489257812500000e+01,2.182607460021972656e+01,1.960666865099847334e+00,1.597439349091154481e+00
-7.303710174560546875e+01,2.190681648254394531e+01,1.953417341138488528e+00,1.724711612440158692e+00
-7.305295562744140625e+01,2.196374130249023438e+01,1.950348713772444453e+00,8.054739758205897715e-01
-7.306399536132812500e+01,2.200461578369140625e+01,1.947061307722850687e+00,8.838632975730912333e-01
-7.307420349121093750e+01,2.205058479309082031e+01,1.941554156904675921e+00,9.808319293189570187e-01
-7.308469390869140625e+01,2.210428428649902344e+01,1.934057491594157518e+00,1.202613656957622235e+00
-7.309775543212890625e+01,2.216852951049804688e+01,1.926388120286947281e+00,1.407335884285032090e+00
-7.311416625976562500e+01,2.224016952514648438e+01,1.919688539090689261e+00,1.515655792389354550e+00
-7.312574768066406250e+01,2.229015350341796875e+01,1.916631097001223916e+00,7.310050825906477812e-01
-7.313400268554687500e+01,2.232697296142578125e+01,1.913099612237724179e+00,8.219490758621729176e-01
-7.314180755615234375e+01,2.237015724182128906e+01,1.907571955079155668e+00,9.486963927491383064e-01
-7.315040588378906250e+01,2.242060470581054688e+01,1.901316455994668697e+00,1.076903453247861631e+00
-7.316051483154296875e+01,2.247985076904296875e+01,1.894649099047600593e+00,1.290154832301922294e+00
-7.316728210449218750e+01,2.251913452148437500e+01,1.891136389569786358e+00,5.083149568687870268e-01
-7.317167663574218750e+01,2.254611206054687500e+01,1.888813447308964610e+00,6.145151180562532511e-01
-7.317691040039062500e+01,2.257801437377929688e+01,1.885362523168439886e+00,6.850255690168904898e-01
-7.318254852294921875e+01,2.261674499511718750e+01,1.880552721081702350e+00,8.747466253236365619e-01
-7.318902587890625000e+01,2.266512870788574219e+01,1.874039960635913715e+00,1.062157348055980943e+00
-7.319692993164062500e+01,2.272155952453613281e+01,1.866854485698770771e+00,1.239806793739395285e+00
-7.320238494873046875e+01,2.275972175598144531e+01,1.862856548270343637e+00,5.566450463558121342e-01
-7.320612335205078125e+01,2.278872299194335938e+01,1.859814153041037477e+00,6.266618360567083323e-01
-7.321080780029296875e+01,2.282442092895507812e+01,1.855903567296364853e+00,7.688524408011184752e-01
